query,positive,negative
me duele la cabeza,ESPIDIFEN 600 MG GRANULADO PARA SOLUCION ORAL SABOR COLA-LIMON,LEVITRA 10 mg COMPRIMIDOS RECUBIERTOS CON PELICULA
me duele la cabeza,DESENFRIOL C GRANULADO EFERVESCENTE,ZEJULA 100 MG COMPRIMIDOS RECUBIERTOS CON PELICULA
me duele la cabeza,GELOCATIL 650 mg COMPRIMIDOS,"PRITORPLUS 40 mg/12,5 mg COMPRIMIDOS"
me duele la cabeza,ASPIRINA C 400 mg/240 mg COMPRIMIDOS EFERVESCENTES,CASPOFUNGINA SANDOZ FARMACÉUTICA 70 mg POLVO PARA CONCENTRADO PARA SOLUCION PARA PERFUSION EFG
me duele la cabeza,ACTRON COMPUESTO 267 MG/133 MG/40 MG COMPRIMIDOS EFERVESCENTES,"PLUSVENT 25 microgramos/50 microgramos/inhalación, suspensión para inhalación envase a presión"
me duele la cabeza,ACTRON COMPUESTO 267 MG/133 MG/40 MG COMPRIMIDOS EFERVESCENTES,LINITUL CICATRIZANTE POMADA
tengo cefalea,IBUPROFENO SANDOZ 600 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,"CANDESARTAN/HIDROCLOROTIAZIDA SANDOZ 32 MG/12,5MG COMPRIMIDOS EFG"
tengo cefalea,NOVIDOL 50 MG/ML SOLUCION PARA PULVERIZACION CUTANEA,COSOPT PF 20 MG/ML + 5 MG/ML COLIRIO EN SOLUCION
tengo cefalea,DOCTRIL FORTE 400 MG COMPRMIDOS RECUBIERTOS CON PELICULA,GEMCITABINA HOSPIRA 200 mg CONCENTRADO PARA SOLUCION PARA PERFUSION
tengo cefalea,PARACETAMOL STADAPHARM 500 MG COMPRIMIDOS EFG,DIFLUCAN 200 mg CAPSULAS DURAS
tengo cefalea,GELOCATIL 1 g SOLUCION ORAL,REFIXIA 1000 UI POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE
dolor en la sien,DIFENATIL 650 MG COMPRIMIDOS,BUCOMAX PASTILLAS PARA CHUPAR SABOR MENTA
dolor en la sien,IBUFÉN XPRESS 400 MG GRANULADO PARA SOLUCIÓN ORAL,QUETIAPINA NORMON 300 MG COMPRIMIDOS DE LIBERACION PROLONGADA EFG
dolor en la sien,IBUFEN INFANTIL 20 MG/ML SUSPENSION ORAL,BOSUTINIB DR. REDDYS 400 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
dolor en la sien,"PAZITAL 37,5 mg/325 mg COMPRIMIDOS RECUBIERTOS CON PELICULA",RANOLAZINA NORMON 750 MG COMPRIMIDOS DE LIBERACION PROLONGADA EFG
dolor en la sien,VINCIGRIP CAPSULAS DURAS,BUPRENORFINA SANDOZ 35 MICROGRAMOS/HORA PARCHE TRANSDERMICO EFG
me late la cabeza,IBUPROFENO (ARGININA) NORMON 600 mg GRANULADO PARA SOLUCION ORAL EFG,"GASTROFRENAL 100 mg, CAPSULAS DURAS"
me late la cabeza,NOVIDOL 50 MG/ML SOLUCION PARA PULVERIZACION CUTANEA,DEFLAZACORT STADA 30 mg COMPRIMIDOS EFG
me late la cabeza,"ZALDIAR 37,5 mg/325 mg COMPRIMIDOS RECUBIERTOS CON PELICULA",FLUTIFORM 250 MICROGRAMOS / 10 MICROGRAMOS/ INHALACION SUSPENSION PARA INHALACION EN ENVASE A PRESION
me late la cabeza,ASPIRINA COMPLEX GRANULADO EFERVESCENTE,DEFLAZACORT CINFA 30 mg COMPRIMIDOS EFG
me late la cabeza,PARACETAMOL NORMON 650 mg COMPRIMIDOS EFG,"ENANDOL 12,5 mg COMPRIMIDOS RECUBIERTOS CON PELICULA"
tengo fiebre,"PAZITAL 37,5 mg/325 mg COMPRIMIDOS RECUBIERTOS CON PELICULA",ETORICOXIB VISO FARMACEUTICA 60 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
tengo fiebre,SERACTIL 400 mg COMPRIMIDOS RECUBIERTOS CON PELICULA,VIPIDIA 25 MG COMPRIMIDOS RECUBIERTOS CON PELICULA
tengo fiebre,"PAXIFLAS 37,5 MG/325 MG COMPRIMIDOS BUCODISPERSABLES EFG",ADISOCOL 300 MG COMPRIMIDOS EFG
tengo fiebre,IBUFEN 400 mg COMPRIMIDOS RECUBIERTOS CON PELICULA,CITICOLINA TECNIGEN 1000 MG SOLUCION ORAL EFG
tengo fiebre,NOVIDOL 50 mg/g GEL,"IMETH 7,5 MG/0,3 ML SOLUCION INYECTABLE EN JERINGA PRECARGADA"
estoy ardiendo,TERMALGIN RESFRIADO 500 MG/30 MG POLVO PARA SOLUCION ORAL,FESOTERODINA STADA 8 MG COMPRIMIDOS DE LIBERACION PROLONGADA EFG
estoy ardiendo,ESPIDIDOL 400 mg COMPRIMIDOS RECUBIERTOS,CINFAMUCOL ACETILCISTEÍNA FORTE 600 MG COMPRIMIDOS EFERVESCENTES
estoy ardiendo,ESPIDIDOL 400 mg GRANULADO PARA SOLUCION ORAL SABOR MENTA,LORATADINA STADA 10 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
estoy ardiendo,NORMOGRIP ANTITUSIVO JUNIOR GRANULADO PARA SOLUCION ORAL,OLANZAPINA CINFA 7.5 MG CAPSULAS DURAS EFG
estoy ardiendo,"TRAMADOL/PARACETAMOL VIATRIS 37,5 MG/325 MG COMPRIMIDOS RECUBIERTOS CON PELÍCULA EFG",XEOMIN 50 UNIDADES POLVO PARA SOLUCION INYECTABLE
temperatura alta,ANTIDOL 500 mg COMPRIMIDOS RECUBIERTOS,BISOPROLOL STADA 5 MG COMPRIMIDOS EFG
temperatura alta,PARACETAMOL NORMON 500 mg COMPRIMIDOS EFG,"ZOLADEX 3,6 mg IMPLANTE EN JERINGA PRECARGADA"
temperatura alta,GELOPROFEN 400 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,IBIS 20 mg COMPRIMIDOS
temperatura alta,PARACETAMOL SANDOZ CARE 1 G COMPRIMIDOS EFG,IRESSA 250 mg COMPRIMIDOS RECUBIERTOS CON PELICULA
temperatura alta,TERMALDINA CODEINA 300 mg/ 15 mg CAPSULAS,NEMEA 200 MG COMPRIMIDOS BUCODISPERSABLES
me siento muy caliente,"ZALDIAR 37,5 mg/325 mg COMPRIMIDOS RECUBIERTOS CON PELICULA",LENALIDOMIDA SANDOZ 25 MG CAPSULAS DURAS EFG
me siento muy caliente,GRIPALNORM GRANULADO PARA SOLUCION ORAL,RISEDRONATO SANDOZ 75 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
me siento muy caliente,GELOCATIL 500 mg GRANULADO,COLIRCUSI ANTIEDEMA 50 MG/ML COLIRIO EN SOLUCIÓN
me siento muy caliente,VINCIGRIP CAPSULAS DURAS,ROSUVASTATINA/EZETIMIBA NORMON 20 MG/10 MG COMPRIMIDOS RECUBIERTOS CON PELÍCULA EFG
me siento muy caliente,SALDEVA FORTE COMPRIMIDOS,LABILENO 25 mg COMPRIMIDOS MASTICABLES/DISPERSABLES
me duele la garganta,DILIBAN 75 mg/650 mg COMPRIMIDOS,BILASTINA STADAPHARM 20 MG COMPRIMIDOS EFG
me duele la garganta,PARACETAMOL NORMON 650 mg COMPRIMIDOS EFG,NOVIDOL 50 MG/ML SOLUCION PARA PULVERIZACION CUTANEA
me duele la garganta,FRENADOL FORTE GRANULADO PARA SOLUCION ORAL,TOPIRAMATO STADA 50 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
me duele la garganta,GELOCATIL 500 mg GRANULADO,OLMESARTAN/AMLODIPINO STADA 40 MG/5 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
me duele la garganta,"PAXIFLAS 37,5 MG/325 MG COMPRIMIDOS BUCODISPERSABLES EFG",LINITUL CICATRIZANTE POMADA
